seed_id,A0_forecast_ade,A1_forecast_ade,A1_residual_forecast_ade,A3_forecast_ade,linear_forecast_ade,delta_A1_minus_A0,winner,winner_vs_linear,winner_residual_vs_linear,A0_teacher_forced,A1_teacher_forced
offset_0s,nan,nan,3.6412524430368354,,3.5643896562014388,nan,na,na,linear,,
offset_10s,nan,nan,5.561272978708771,,5.327628173726087,nan,na,na,linear,,
offset_12s,nan,nan,6.807868168629398,,6.757609648018407,nan,na,na,linear,,
offset_14s,nan,nan,5.568501268533371,,5.444960438876151,nan,na,na,linear,,
offset_2s,nan,nan,5.5669666032017515,,5.509003554852399,nan,na,na,linear,,
offset_4s,nan,nan,14.205439893048721,,14.201085188503098,nan,na,na,tie,,
offset_6s,nan,nan,4.632382822908564,,4.675398177782452,nan,na,na,A1_residual,,
offset_8s,nan,nan,5.3651980497319185,,5.384277708432482,nan,na,na,A1_residual,,
