variant,checkpoint,tracks_path,ade_full,fde_full,ade_forecast,fde_forecast,num_matches,teacher_forced_ade_px,persistence_ade_px,post_refine
A1_residual,C:\Users\63npi\OneDrive\Desktop\CS231N\cs231n-player-trajectories\data\runs\sportsmot_v_6os86hzwcs_c003\lstm\lstm_rule_features_residual\checkpoint.pt,C:\Users\63npi\OneDrive\Desktop\CS231N\cs231n-player-trajectories\data\runs\sportsmot_v_6os86hzwcs_c003\lstm\lstm_rule_features_residual\predicted_A1_residual.json,3.6799155652157496,5.870729170869945,3.5667206523689035,5.870729170869945,450,395.2241869533763,3.3484010634396006,
SAM_augmented,,,,,3.5539608008126957,3.7693558574819406,,nan,nan,
linear_baseline,,,,,3.677998968366946,5.421433289725725,,nan,nan,
