seed_id,fixed_rules_ade,autoregressive_ade,delta_ar_minus_fixed
offset_0s,44.984449037221445,42.85744646066644,-2.1270025765550074
offset_10s,7.457814676262929,28.65756137840374,21.199746702140814
offset_12s,6.339930191353508,37.030345814392376,30.690415623038866
offset_14s,6.968872777553704,35.57815726241114,28.609284484857433
offset_15s,41.57758040247291,46.027145575331325,4.449565172858414
offset_16s,9.975477197148866,37.974264614247545,27.99878741709868
offset_18s,7.554140473204379,35.11065214881853,27.556511675614153
offset_2s,5.645937724337897,32.278083091849766,26.632145367511868
offset_4s,6.74827082930992,30.105226442896303,23.356955613586383
offset_5s,50.644915659539095,46.1010540125066,-4.543861647032493
offset_6s,7.21561294189377,36.89587599375678,29.68026305186301
offset_8s,8.871643634412237,28.042535148367705,19.170891513955468
