rule,ade_forecast,delta_ade_vs_plain
velocity_cap,9.19143110364768,0.0026976067430766193
hull_containment,9.263436461659655,0.07470296475505123
spacing_push,9.669730578382978,0.4809970814783746
cluster_cohesion,15.380472692950681,6.191739196046077
collective_momentum,9.19143110364768,0.0026976067430766193
convergence_pull,19.563038659067438,10.374305162162834
cut_continuation,9.348451776374509,0.1597182794699048
dead_ball_freeze,9.392890268715137,0.20415677181053304
divergence_spread,9.19143110364768,0.0026976067430766193
isolated_player_hold,9.213036785670035,0.024303288765430864
mirror_prediction,9.861187995716627,0.6724544988120229
stationary_persistence,9.19143110364768,0.0026976067430766193
