seed_id,ablation,groups_kept,n_features_active,ade_forecast,fde_forecast,teacher_forced_ade_px
offset_0s,full_all_features,"kinematic,social_geometry,game_state",15,44.984449037221445,40.28361015001187,122.4023431022753
offset_0s,kinematic_only,kinematic,5,53.49509344040757,47.80433319671715,96.70441713913503
offset_0s,social_geometry_only,social_geometry,3,51.628729282195884,47.377629389621525,108.18184975983056
offset_0s,game_state_only,game_state,7,35.346833828779616,29.311022313770508,83.92815003907386
offset_0s,kinematic_plus_social,"kinematic,social_geometry",8,50.73073291574399,62.413388452942456,109.54749295516268
offset_0s,kinematic_plus_game,"kinematic,game_state",12,42.3427868683086,40.83740100483135,98.50199043473116
offset_0s,no_game_state,"kinematic,social_geometry",8,50.73073291574399,62.413388452942456,109.54749295516268
offset_10s,full_all_features,"kinematic,social_geometry,game_state",15,7.457814676262929,7.614738479150477,5.251594475865674
offset_10s,kinematic_only,kinematic,5,42.94825572242172,36.00234654374782,72.38066144035548
offset_10s,social_geometry_only,social_geometry,3,42.835438663045494,43.277345044552035,67.49337143740597
offset_10s,game_state_only,game_state,7,45.30496194745016,43.40198661791658,67.5693087699859
offset_10s,kinematic_plus_social,"kinematic,social_geometry",8,34.3594134078831,37.4868752443486,35.48506564226897
offset_10s,kinematic_plus_game,"kinematic,game_state",12,35.388185366875625,21.042550427129623,52.4201163026098
offset_10s,no_game_state,"kinematic,social_geometry",8,34.3594134078831,37.4868752443486,35.48506564226897
offset_12s,full_all_features,"kinematic,social_geometry,game_state",15,6.339930191353508,9.944826789348484,4.980237690424791
offset_12s,kinematic_only,kinematic,5,49.92643680794746,46.154307177596216,82.86620061606949
offset_12s,social_geometry_only,social_geometry,3,50.37597631084576,52.3165229128948,79.15020741666962
offset_12s,game_state_only,game_state,7,35.6453151888279,31.143291458140496,51.15217746631207
offset_12s,kinematic_plus_social,"kinematic,social_geometry",8,34.75997969996056,39.9116730433229,52.531574617548976
offset_12s,kinematic_plus_game,"kinematic,game_state",12,27.620193086238814,39.471810399789135,29.33932793716712
offset_12s,no_game_state,"kinematic,social_geometry",8,34.75997969996056,39.9116730433229,52.531574617548976
offset_14s,full_all_features,"kinematic,social_geometry,game_state",15,6.968872777553704,8.012383873344719,4.495385970151091
offset_14s,kinematic_only,kinematic,5,44.058169806467745,55.676544030397736,60.807127182638396
offset_14s,social_geometry_only,social_geometry,3,41.83358483536249,46.56163794235518,69.99399258394158
offset_14s,game_state_only,game_state,7,37.03961025061337,36.8823318173283,85.84400648036889
offset_14s,kinematic_plus_social,"kinematic,social_geometry",8,36.24316594800477,39.04471626095158,34.32923842926996
offset_14s,kinematic_plus_game,"kinematic,game_state",12,34.400967851685266,35.159523240203455,37.779802456893755
offset_14s,no_game_state,"kinematic,social_geometry",8,36.24316594800477,39.04471626095158,34.32923842926996
offset_15s,full_all_features,"kinematic,social_geometry,game_state",15,41.57758040247291,32.511772846426226,99.33631906691512
offset_15s,kinematic_only,kinematic,5,48.43451709730539,49.769169664532626,126.53529427075702
offset_15s,social_geometry_only,social_geometry,3,44.505631973535074,48.06092610257,116.35445479926706
offset_15s,game_state_only,game_state,7,40.13309543594153,42.958515828238035,127.67938593050881
offset_15s,kinematic_plus_social,"kinematic,social_geometry",8,42.40846738997592,42.07368012974525,120.48656258662976
offset_15s,kinematic_plus_game,"kinematic,game_state",12,38.594432268566564,39.3693721684965,116.57939635109177
offset_15s,no_game_state,"kinematic,social_geometry",8,42.40846738997592,42.07368012974525,120.48656258662976
offset_16s,full_all_features,"kinematic,social_geometry,game_state",15,9.975477197148866,11.58554858132686,4.79281523464905
offset_16s,kinematic_only,kinematic,5,41.10697201700839,47.39011256701789,44.32095004114158
offset_16s,social_geometry_only,social_geometry,3,44.01619569207296,42.92365894499088,99.96829295579126
offset_16s,game_state_only,game_state,7,38.185875840358364,34.803042691310885,62.51082438300638
offset_16s,kinematic_plus_social,"kinematic,social_geometry",8,34.56276792483515,42.32028375398535,33.06201189607382
offset_16s,kinematic_plus_game,"kinematic,game_state",12,22.767847360426668,24.477777814625128,16.724765778442517
offset_16s,no_game_state,"kinematic,social_geometry",8,34.56276792483515,42.32028375398535,33.06201189607382
offset_18s,full_all_features,"kinematic,social_geometry,game_state",15,7.554140473204379,8.682555505417179,4.671576898586573
offset_18s,kinematic_only,kinematic,5,46.23674848998546,52.66975418179915,104.83027446690988
offset_18s,social_geometry_only,social_geometry,3,39.4954263217284,49.606970441013445,70.90222356860079
offset_18s,game_state_only,game_state,7,44.13080651783773,40.9795754247935,128.22894434592095
offset_18s,kinematic_plus_social,"kinematic,social_geometry",8,35.792189820720665,43.471337840673606,37.90883378282356
offset_18s,kinematic_plus_game,"kinematic,game_state",12,43.18601538587931,46.98949044257987,97.86984934611834
offset_18s,no_game_state,"kinematic,social_geometry",8,35.792189820720665,43.471337840673606,37.90883378282356
offset_2s,full_all_features,"kinematic,social_geometry,game_state",15,5.645937724337897,8.77340810520078,4.345330575902891
offset_2s,kinematic_only,kinematic,5,37.65555089661525,40.321924548660185,59.42536495873595
offset_2s,social_geometry_only,social_geometry,3,41.692037729760386,43.524154128171595,52.86124554390416
offset_2s,game_state_only,game_state,7,47.71604331187262,52.93830767122281,112.73670851448003
offset_2s,kinematic_plus_social,"kinematic,social_geometry",8,22.41278610134189,19.332944769658855,23.60961264069466
offset_2s,kinematic_plus_game,"kinematic,game_state",12,41.926434875388566,42.9731923100155,53.213159701754066
offset_2s,no_game_state,"kinematic,social_geometry",8,22.41278610134189,19.332944769658855,23.60961264069466
offset_4s,full_all_features,"kinematic,social_geometry,game_state",15,6.74827082930992,8.748206515447269,4.96203931425972
offset_4s,kinematic_only,kinematic,5,39.60330149287659,42.94417839685792,80.82502078466555
offset_4s,social_geometry_only,social_geometry,3,42.8815558272003,26.3801249350418,56.778897181942185
offset_4s,game_state_only,game_state,7,52.61355728553294,33.677315408347816,102.22515311661888
offset_4s,kinematic_plus_social,"kinematic,social_geometry",8,33.173265749935666,29.826141305892,51.2878034325207
offset_4s,kinematic_plus_game,"kinematic,game_state",12,45.374181368045015,40.46806033936974,78.77708309257731
offset_4s,no_game_state,"kinematic,social_geometry",8,33.173265749935666,29.826141305892,51.2878034325207
offset_5s,full_all_features,"kinematic,social_geometry,game_state",15,50.644915659539095,57.11174788385294,118.13771960454828
offset_5s,kinematic_only,kinematic,5,42.278767888789794,36.04933327330916,113.66661548947587
offset_5s,social_geometry_only,social_geometry,3,38.616999605727784,33.75582727145135,103.84877546955558
offset_5s,game_state_only,game_state,7,44.383850868980936,54.64484784220533,130.23493330829282
offset_5s,kinematic_plus_social,"kinematic,social_geometry",8,45.113645532399254,37.11291926555399,117.48967768620042
offset_5s,kinematic_plus_game,"kinematic,game_state",12,48.05465343093686,32.73015169352119,122.23643149961444
offset_5s,no_game_state,"kinematic,social_geometry",8,45.113645532399254,37.11291926555399,117.48967768620042
offset_6s,full_all_features,"kinematic,social_geometry,game_state",15,7.21561294189377,6.450360110751108,4.965819933468147
offset_6s,kinematic_only,kinematic,5,39.47813779625083,39.52187952089572,56.99583633559592
offset_6s,social_geometry_only,social_geometry,3,32.44516119556445,34.25396761430636,59.78170142892529
offset_6s,game_state_only,game_state,7,41.56856855941081,45.41863108427095,94.00178999506376
offset_6s,kinematic_plus_social,"kinematic,social_geometry",8,31.96870687410608,41.388711021551536,32.44943074610303
offset_6s,kinematic_plus_game,"kinematic,game_state",12,24.522250575987997,31.320001112457305,25.55104939492748
offset_6s,no_game_state,"kinematic,social_geometry",8,31.96870687410608,41.388711021551536,32.44943074610303
offset_8s,full_all_features,"kinematic,social_geometry,game_state",15,8.871643634412237,9.446157311227672,6.255611611965537
offset_8s,kinematic_only,kinematic,5,35.7852600633566,29.881357928881474,63.30508269572399
offset_8s,social_geometry_only,social_geometry,3,39.89657246268824,46.152685696648774,68.14445672669179
offset_8s,game_state_only,game_state,7,26.372387083475598,26.47595046397481,25.435431697675902
offset_8s,kinematic_plus_social,"kinematic,social_geometry",8,33.11469652061803,35.14868268162458,40.92687773351839
offset_8s,kinematic_plus_game,"kinematic,game_state",12,15.717774171002327,13.064470348364445,14.691044555304671
offset_8s,no_game_state,"kinematic,social_geometry",8,33.11469652061803,35.14868268162458,40.92687773351839
