variant,checkpoint,tracks_path,ade_full,fde_full,ade_forecast,fde_forecast,num_matches,teacher_forced_ade_px,persistence_ade_px,post_refine
A0_plain,C:\Users\63npi\OneDrive\Desktop\CS231N\cs231n-player-trajectories\data\runs\sportsmot_example\lstm\lstm_plain\checkpoint.pt,C:\Users\63npi\OneDrive\Desktop\CS231N\cs231n-player-trajectories\data\runs\sportsmot_example\lstm\lstm_plain\predicted_A0_plain.json,8.10805679975518,12.385321488845538,9.188733496904604,12.385321488845538,432,5.591354606688515,8.509158903499191,
A1_rule_features,C:\Users\63npi\OneDrive\Desktop\CS231N\cs231n-player-trajectories\data\runs\sportsmot_example\lstm\lstm_rule_features\checkpoint.pt,C:\Users\63npi\OneDrive\Desktop\CS231N\cs231n-player-trajectories\data\runs\sportsmot_example\lstm\lstm_rule_features\predicted_A1_rule_features.json,7.837092317151831,19.962540423422237,8.864476830742149,19.962540423422237,432,4.199138319154797,8.509158903499191,
A3_graph,C:\Users\63npi\OneDrive\Desktop\CS231N\cs231n-player-trajectories\data\runs\sportsmot_example\lstm\lstm_graph\checkpoint.pt,C:\Users\63npi\OneDrive\Desktop\CS231N\cs231n-player-trajectories\data\runs\sportsmot_example\lstm\lstm_graph\predicted_A3_graph.json,8.028231063969619,12.964386008092806,9.093207962668147,12.964386008092806,432,4.426705737419812,8.509158903499191,
A2_post_game,C:\Users\63npi\OneDrive\Desktop\CS231N\cs231n-player-trajectories\data\runs\sportsmot_example\lstm\lstm_plain\checkpoint.pt,C:\Users\63npi\OneDrive\Desktop\CS231N\cs231n-player-trajectories\data\runs\sportsmot_example\lstm\lstm_plain\predicted_A2_post_game.json,16.93602598173536,13.388915661086207,19.76627469372054,13.388915661086207,422,5.591354606688515,8.509158903499191,game
A2_post_physical,C:\Users\63npi\OneDrive\Desktop\CS231N\cs231n-player-trajectories\data\runs\sportsmot_example\lstm\lstm_plain\checkpoint.pt,C:\Users\63npi\OneDrive\Desktop\CS231N\cs231n-player-trajectories\data\runs\sportsmot_example\lstm\lstm_plain\predicted_A2_post_physical.json,8.705928389313263,12.55659369942841,9.741735936394951,12.55659369942841,432,5.591354606688515,8.509158903499191,physical
SAM_augmented,,,,,7.479674384313496,7.964425865248269,,nan,nan,
linear_baseline,,,,,6.351464825064998,11.88912734204426,,nan,nan,
